NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8123e-10,1.1059e-26,1.4332e-27,5.1995e-30,2.3702e-25,2.3702e-25,8.5328e-26,6.6351e-27,1.8431e-26,8.5328e-26,2.3886e-27,1.4443e-29,NaN,NaN,0.36,2.3338e-21,5.1197e-26,3.9199e-23,3.0957e-28,3.0481e-24,3.7371e-22,8.5991e-28,8.5991e-28,6.6351e-27,4.012e-29,5.2399e-32,2.4072e-29,6.5839e-25,4.7384e-06,NaN,NaN,2.843e-06,4.012e-29,2.4072e-29,6.6867e-29,2.4447e-33,4.012e-29,5.2399e-32,3.7711e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003628,3.9504e-25,3.0246e-22,3.8597e-19,3.8299e-17,2.3886e-27,3.0246e-22,5.1595e-28,2.4072e-29,1.8431e-26,1.8574e-28,1.1059e-26,1.0235e-06,NaN,NaN,0.00010156,1.4221e-25,1.8431e-26,3.8597e-19,1.1059e-26,3.193e-36,1.024e-40,3.7587e-46,5.4467e-42,5.1995e-30,1.4443e-29,8.5328e-26,3.9811e-27,5.2807e-34,2.2627e-13,NaN,NaN,2.8651e-08,1.0889e-22,2.4072e-29,1.4221e-25,1.8148e-22,2.4072e-29,6.7386e-31,2.9324e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1456e-14,3.9199e-23,6.5839e-25,1.0889e-22,3.0246e-22,1.4112e-23,1.0805e-20,3.0013e-20,2.298e-17,2.3519e-23,1.8289e-24,6.334e-15,NaN,NaN,NaN,3.8597e-19,8.4017e-22,5.0802e-24,1.8289e-24,6.5332e-23,2.07e-56,1.8129e-79,9.7327e-60,1.4112e-23,6.6351e-27,8.5328e-26,2.3338e-21,1.8148e-22,3.0481e-24,1.0721e-18,NaN,NaN,0.010078,2.4072e-29,1.4221e-25,3.9811e-27,1.1318e-32,8.5328e-26,2.3886e-27,1.8148e-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7191e-08,8.4017e-22,2.3158e-19,2.3158e-19,6.6351e-27,8.4017e-22,3.0013e-20,8.4017e-22,8.5328e-26,5.041e-22,3.8897e-21,6.3832e-17,0.003628,NaN,NaN,0.016796,3.0481e-24,3.0718e-26,1.0973e-24,5.1595e-28,3.8597e-19,1.7058e-06,0.0021768,1.7191e-08,1.3576e-13,6.5332e-23,1.8148e-22,1.4221e-25,2.3519e-23,8.337e-20,3.8004e-15,NaN,NaN,NaN,2.3338e-21,2.3519e-23,3.0481e-24,2.298e-17,1.0805e-20,1.4003e-21,3.0481e-24,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07776,1.0475e-12,1.3788e-17,2.298e-17,8.2089e-16,4.9636e-18,3.8897e-21,2.9552e-16,2.9782e-18,8.2727e-18,8.2727e-18,1.7869e-18,1.0557e-14,NaN,NaN,NaN,0.00010156,8.2727e-18,4.9636e-18,4.9253e-16,3.0013e-20,3.0246e-22,3.2854e-12,2.0768e-17,6.4328e-19,1.8574e-28,8.4017e-22,1.0805e-20,6.4828e-21,1.4112e-23,2.3519e-23,1.7869e-18,NaN,NaN,0.216,8.467e-24,5.0022e-20,5.0802e-24,2.3702e-25,8.5328e-26,3.9504e-25,3.9199e-23,2.8651e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.334e-15,1.3895e-19,1.4003e-21,1.4332e-27,1.8008e-20,3.8299e-17,1.3788e-17,8.4017e-22,1.0805e-20,1.3682e-15,2.298e-17,1.7869e-18,0.07776,NaN,NaN,NaN,8.2727e-18,1.3788e-17,1.3895e-19,6.5332e-23,8.2727e-18,3.0481e-24,2.843e-06,0.1296,4.9636e-18,6.334e-15,1.8008e-20,1.3895e-19,8.4017e-22,1.4112e-23,1.0805e-20,3.8597e-19,0.6,NaN,NaN,1.0721e-18,3.9504e-25,5.0802e-24,3.9199e-23,6.4828e-21,2.3702e-25,6.6351e-27,4.8123e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2367e-11,1.3788e-17,3.8299e-17,6.2852e-13,1.8008e-20,2.9552e-16,2.9782e-18,4.9253e-16,1.3788e-17,1.3788e-17,3.0481e-24,2.2803e-15,1.3264e-07,NaN,NaN,NaN,0.07776,1.3895e-19,1.8148e-22,3.8299e-17,1.0805e-20,2.3338e-21,2.8651e-08,NaN,NaN,3.6846e-07,8.4017e-22,1.3682e-15,5.0022e-20,2.298e-17,8.2089e-16,1.7731e-16,1.0805e-20,0.016796,NaN,NaN,2.9782e-18,6.4328e-19,6.4328e-19,3.8004e-15,5.0022e-20,1.4112e-23,1.0639e-16,3.8004e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013061,5.0022e-20,8.2727e-18,8.1456e-14,4.8874e-14,8.2727e-18,2.2803e-15,1.0639e-16,1.4003e-21,1.7459e-12,1.7459e-12,3.7711e-13,2.2803e-15,0.07776,NaN,NaN,NaN,1.0314e-08,1.7595e-14,4.9636e-18,3.8597e-19,3.0013e-20,8.2089e-16,2.1937e-05,NaN,0.36,1.0475e-12,3.8004e-15,6.3832e-17,6.4328e-19,2.298e-17,2.3338e-21,3.8597e-19,2.9782e-18,1.7459e-12,NaN,0.1296,3.9199e-23,2.3158e-19,3.0013e-20,3.9504e-25,6.4828e-21,1.0557e-14,1.8008e-20,4.9636e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1296,8.0828e-12,2.3158e-19,1.7731e-16,4.9636e-18,1.0475e-12,2.8874e-10,1.0395e-10,3.8004e-15,1.0639e-16,2.9782e-18,1.3895e-19,8.2727e-18,1.0235e-06,NaN,NaN,NaN,0.1296,1.3682e-15,2.9552e-16,1.0639e-16,3.8299e-17,1.7731e-16,1.7869e-18,2.2107e-07,NaN,6.2367e-11,3.8897e-21,3.8299e-17,3.8597e-19,8.2089e-16,8.337e-20,1.0557e-14,8.337e-20,1.0721e-18,0.00078364,NaN,NaN,2.9098e-12,2.9324e-14,6.334e-15,3.8004e-15,1.0721e-18,3.8597e-19,8.2089e-16,2.9782e-18,0.027994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1887e-09,2.1937e-05,3.7132e-09,4.8123e-10,3.8597e-19,1.4003e-21,1.0721e-18,1.0639e-16,4.8874e-14,6.334e-15,1.0557e-14,1.7459e-12,1.3788e-17,0.1296,NaN,NaN,NaN,7.8973e-06,6.334e-15,2.2627e-13,6.2852e-13,1.0475e-12,1.0395e-10,4.8874e-14,4.7384e-06,0.6,2.9098e-12,3.742e-11,2.2627e-13,8.2727e-18,3.8299e-17,8.2727e-18,1.4003e-21,8.2727e-18,3.8299e-17,2.2279e-09,NaN,NaN,2.2627e-13,5.041e-22,3.0246e-22,3.8299e-17,4.9253e-16,8.2089e-16,2.3158e-19,2.3158e-19,1.7191e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
