NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16236,0.18953,0.30148,0.12385,0.031986,0.025362,0.074907,0.094474,0.09089,0.35192,0.12385,0.15028,0.1562,0.080932,0.024399,0.15028,0.1562,0.052886,0.92556,0.82416,0.32573,0.26845,0.16877,0.19701,0.42701,0.13381,0.10207,0.19701,0.17542,0.21285,0.0982,0.23904,0.029605,0.12385,0.16236,0.05088,0.12385,0.22124,0.23904,0.16877,0.7628,0.047092,0.13381,0.30148,0.038811,0.44385,0.38023,0.084124,0.094474,0.27904,0.12385,0.054972,0.17542,0.034559,0.061735,0.06417,0.040342,0.10207,0.066701,0.11915,0.11463,0.035922,0.14457,0.33857,0.42701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033248,0.041933,0.18234,0.13909,0.066701,0.087441,0.15028,0.052886,0.022583,0.19701,0.22124,0.030773,0.32573,0.25826,0.27904,0.045305,0.18953,0.35192,NaN,0.18234,0.045305,0.035922,0.11915,0.059393,0.026362,0.045305,0.12385,0.12874,0.0982,0.19701,0.20477,0.069331,0.38023,0.035922,0.034559,0.026362,0.11463,0.061735,0.019346,0.09089,0.13381,0.51812,0.19701,0.11463,0.066701,0.072065,0.038811,0.12874,0.11028,0.033248,0.0982,0.22997,0.12385,0.19701,0.31337,0.021726,0.033248,0.010419,0.034559,0.12874,0.015944,0.041933,0.18953,0.09089,0.15028,0.65346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30148,0.05088,0.023474,0.031986,0.018612,0.059393,0.084124,0.1061,0.10207,0.11028,0.030773,0.037339,0.066701,0.020109,0.025362,0.038811,0.066701,0.026362,0.074907,0.89044,0.066701,0.05088,0.028482,0.048949,0.040342,0.09089,0.05714,0.045305,0.024399,0.022583,0.014197,0.017906,0.027401,0.027401,0.12385,0.069331,0.1061,0.0982,0.10207,0.11463,0.025362,0.059393,0.35192,0.25826,0.06417,0.077861,0.13381,0.11915,0.06417,0.30148,0.012642,0.11463,0.09089,0.040342,0.38023,0.51812,0.023474,0.054972,0.32573,0.51812,0.16877,0.035922,0.17542,0.30148,0.054972,0.059393,0.041933,0.82416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73386,0.24847,0.44385,0.32573,0.10207,0.44385,0.11463,0.029605,0.21285,0.047092,0.084124,0.06417,0.077861,0.13909,0.1061,0.38023,0.17542,0.32573,0.14457,0.67923,0.26845,0.44385,0.3658,0.31337,0.53855,0.58187,0.33857,0.30148,0.18953,0.35192,0.094474,0.22997,0.18234,0.39523,0.1562,0.077861,0.46136,0.31337,0.27904,0.077861,0.11028,0.16236,0.24847,0.23904,0.029605,0.17542,0.080932,0.080932,0.27904,0.066701,0.12385,0.1061,0.3658,0.21285,0.55979,0.084124,0.011257,0.031986,0.30148,0.82416,0.82416,0.09089,0.27904,0.33857,0.55979,0.47955,0.38023,0.0982,0.33857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.29004,0.13381,0.25826,0.18953,0.059393,0.26845,0.17542,0.094474,0.22997,0.16877,0.23904,0.30148,0.16236,0.17542,0.087441,0.19701,0.22124,0.22997,0.22124,0.11028,0.1562,0.066701,0.31337,0.037339,0.037339,0.10207,0.066701,0.031986,0.29004,0.23904,0.27904,0.22124,0.24847,0.077861,0.29004,0.13909,0.045305,0.22124,0.11915,0.32573,0.22124,0.33857,0.19701,0.23904,0.077861,0.46136,0.30148,0.074907,0.054972,0.27904,0.015339,0.16236,0.20477,0.16877,0.074907,0.041933,0.05714,0.069331,0.32573,0.037339,0.023474,0.015944,0.028482,0.059393,0.17542,0.038811,0.033248,0.10207,0.1562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67923,0.080932,0.087441,0.072065,0.12874,0.052886,0.1061,0.1061,0.13909,0.20477,0.1562,0.080932,0.33857,0.23904,0.084124,0.10207,0.022583,0.05088,0.11915,0.11028,0.06417,0.041933,0.072065,0.05088,0.32573,0.16236,0.038811,0.13381,0.32573,0.031986,0.031986,0.19701,0.18953,0.20477,0.094474,0.13909,0.3658,0.09089,0.1562,0.10207,0.16877,0.14457,0.29004,0.15028,0.20477,0.17542,0.10207,0.20477,0.26845,0.26845,0.3658,0.22124,0.3658,0.066701,0.072065,0.028482,0.066701,0.11463,0.3658,0.14457,0.077861,0.26845,0.29004,0.41081,0.17542,0.1061,0.23904,0.23904,0.19701,0.41081,0.58187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51812,0.21285,0.42701,0.077861,0.32573,0.12874,0.25826,0.41081,0.29004,0.32573,0.26845,0.22997,0.1061,0.094474,0.33857,0.31337,0.20477,0.0982,0.19701,0.1562,0.069331,0.12874,0.1562,0.11028,0.069331,0.069331,0.13381,0.41081,0.12385,0.072065,0.12874,0.22997,0.14457,0.13909,0.19701,0.33857,0.20477,0.12385,0.10207,0.13381,0.26845,0.29004,0.13909,0.1562,0.084124,0.11463,0.11463,0.027401,0.06417,0.05714,0.38023,0.53855,0.3658,0.1061,0.24847,0.14457,0.58187,0.13909,0.12385,0.20477,0.080932,0.14457,0.42701,0.23904,0.65346,0.62867,0.11915,0.99721,0.49846,0.27904,0.3658,0.82416,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35192,0.080932,0.11463,0.41081,0.24847,0.17542,0.12874,0.27904,0.041933,0.09089,0.05714,0.0982,0.17542,0.11028,0.22124,0.11463,0.072065,0.080932,0.030773,0.25826,0.18234,0.12385,0.11028,0.054972,0.1061,0.18234,0.048949,0.020109,0.10207,0.22124,0.13909,0.22997,0.22124,0.16236,0.038811,0.029605,0.16877,0.18953,0.1562,0.072065,0.027401,0.015944,0.054972,0.094474,0.16877,0.3658,0.58187,0.22124,0.26845,0.98971,0.020109,0.069331,0.031986,0.22124,0.25826,0.15028,0.3658,0.24847,0.26845,0.16877,0.27904,0.24847,0.072065,0.13909,0.47955,0.26845,0.020902,0.14457,0.19701,0.0982,0.077861,0.12874,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3658,0.16877,0.11028,0.22124,0.15028,0.16877,0.1061,0.09089,0.18953,0.12385,0.1061,0.05088,0.15028,0.21285,0.061735,0.20477,0.14457,0.1562,0.22997,0.16236,0.23904,0.066701,0.077861,0.20477,0.14457,0.045305,0.069331,0.072065,0.11028,0.074907,0.09089,0.16236,0.019346,0.061735,0.1061,0.23904,0.18953,0.034559,0.018612,0.1562,0.23904,0.18953,0.18234,0.3658,0.33857,0.11463,0.094474,0.072065,0.17542,0.20477,0.12874,0.49846,0.19701,0.29004,0.33857,0.061735,0.061735,0.49846,0.048949,0.30148,0.09089,0.011257,0.29004,0.41081,0.072065,0.24847,0.0085867,0.20477,0.24847,0.084124,0.06417,0.12874,0.12385,0.44385,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.084124,0.30148,0.12874,0.09089,0.21285,0.26845,0.3658,0.059393,0.18953,0.35192,0.22124,0.39523,0.18953,0.031986,0.13381,0.46136,0.27904,0.42701,0.49846,0.21285,0.037339,0.31337,0.048949,0.11915,0.25826,0.21285,0.3658,0.30148,0.30148,0.23904,0.069331,0.18234,0.31337,0.25826,0.27904,0.73386,0.42701,0.069331,0.25826,0.19701,0.080932,0.18234,0.67923,0.32573,0.11915,0.31337,0.15028,0.028482,0.1061,0.087441,0.17542,0.38023,0.11463,0.65346,0.05714,0.39523,0.58187,0.44385,0.048949,0.35192,0.18234,0.061735,0.32573,0.27904,0.25826,0.084124,0.19701,0.51812,0.85666,0.18234,0.41081,0.46136,0.21285,0.99956,NaN,NaN,NaN,NaN,NaN,NaN
